URL                                              | Module                                          | Name                            | Decorator
/parametro-de-usuario/establecer/                | igs_app_base.parametrousuario.vw.Set            | parametrousuario_set            | 
/parametro-de-usuario/nuevo/                     | igs_app_base.views.Create                       | parametrousuario_create         | 
/perfil-de-usuario/                              | igs_app_base.views.List                         | group_list                      | 
/perfil-de-usuario/<int:pk>                      | igs_app_base.views.Read                         | group_read                      | 
/perfil-de-usuario/actualizar/<int:pk>           | igs_app_base.views.Update                       | group_update                    | 
/perfil-de-usuario/eliminar/<int:pk>             | igs_app_base.views.Delete                       | group_delete                    | 
/perfil-de-usuario/eliminar/multiple/            | igs_app_base.views.DeleteMany                   | group_delete_many               | 
/perfil-de-usuario/nuevo/                        | igs_app_base.views.Create                       | group_create                    | 
/permiso-de-usuario/                             | igs_app_base.views.List                         | permission_list                 | 
/permiso-de-usuario/<int:pk>                     | igs_app_base.views.Read                         | permission_read                 | 
/permiso-de-usuario/actualizar/<int:pk>          | igs_app_base.views.Update                       | permission_update               | 
/permiso-de-usuario/eliminar/<int:pk>            | igs_app_base.views.Delete                       | permission_delete               | 
/permiso-de-usuario/eliminar/multiple/           | igs_app_base.views.DeleteMany                   | permission_delete_many          | 
/permiso-de-usuario/nuevo/                       | igs_app_base.views.Create                       | permission_create               | 
/salir                                           | igs_app_base.session.vw.Logout                  | session_logout                  | 
/sql/                                            | igs_app_base.sql.vw.SQLView                     | sql_exec_rows                   | 
/sql/2-json/                                     | igs_app_base.sql.vw.SQL2JSONView                | sql_exec_json_out               | 
/sql/2json/                                      | igs_app_base.sql.vw.SQL2JSONView                | sql_exec_json                   | 
/tipo-parametro/                                 | igs_app_base.views.List                         | tipoparametro_list              | 
/tipo-parametro/<int:pk>                         | igs_app_base.views.Read                         | tipoparametro_read              | 
/tipo-parametro/actualizar/<int:pk>              | igs_app_base.views.Update                       | tipoparametro_update            | 
/tipo-parametro/eliminar/<int:pk>                | igs_app_base.views.Delete                       | tipoparametro_delete            | 
/tipo-parametro/eliminar/multiple/               | igs_app_base.views.DeleteMany                   | tipoparametro_delete_many       | 
